san francisco,4.6,GAME,90
san francisco,4.4,GAME,60
san francisco,4.5,GAME,60
san francisco,4.6,HEALTH_AND_FITNESS,60
san francisco,4.5,FAMILY,50
mirnyy,4.5,GAME,45
san francisco,4.3,GAME,40
san francisco,4.0,PRODUCTIVITY,40
dolores,4.4,GAME,36
flores,4.5,GAME,32
dolores,4.5,GAME,32
novyy,4.3,GAME,30
san francisco,4.3,MAPS_AND_NAVIGATION,30
san francisco,4.0,FAMILY,30
novyy,4.4,FAMILY,30
san francisco,4.7,GAME,30
san francisco,4.0,PHOTOGRAPHY,30
san francisco,4.3,COMMUNICATION,30
san francisco,4.3,FAMILY,30
san francisco,4.7,FAMILY,30
san francisco,4.2,GAME,30
kalinovka,4.4,GAME,28
calera,4.4,GAME,27
ivanovka,4.6,FAMILY,27
mirnyy,4.6,GAME,25
mirnyy,4.2,PERSONALIZATION,25
flores,4.3,FAMILY,24
dolores,4.6,FAMILY,24
flores,4.5,FAMILY,24
novillo,4.4,GAME,24
la chacara,4.6,GAME,22
ortigueira,4.7,GAME,21
novotroitskoye,4.3,GAME,21
ortigueira,4.5,FAMILY,21
novotroitskoye,4.3,FAMILY,21
ortigueira,4.5,GAME,21
harwood,4.3,FAMILY,21
ivanovka,4.6,GAME,21
novotroitskoye,4.6,GAME,21
san francisco,4.6,NEWS_AND_MAGAZINES,20
san francisco,4.2,PRODUCTIVITY,20
kalinovka,4.2,FAMILY,20
san francisco,4.4,PRODUCTIVITY,20
san francisco,4.6,BUSINESS,20
san francisco,4.9,FAMILY,20
san francisco,4.4,TRAVEL_AND_LOCAL,20
san francisco,4.3,SPORTS,20
mirnyy,4.5,FINANCE,20
san francisco,4.7,EDUCATION,20
mirnyy,4.4,PHOTOGRAPHY,20
san francisco,4.2,COMMUNICATION,20
novyy,4.5,GAME,20
san francisco,4.5,MEDICAL,20
san francisco,4.2,PHOTOGRAPHY,20
san francisco,4.4,PHOTOGRAPHY,20
kalinovka,4.5,GAME,20
san francisco,3.8,FAMILY,20
novyy,4.7,GAME,20
san francisco,4.2,TOOLS,20
san francisco,4.2,SOCIAL,20
kalinovka,4.3,FAMILY,20
san francisco,4.4,TOOLS,20
san francisco,4.5,HEALTH_AND_FITNESS,20
san francisco,4.0,HEALTH_AND_FITNESS,20
san francisco,4.0,BUSINESS,20
flores,4.6,FAMILY,20
san francisco,4.4,SOCIAL,20
san francisco,4.3,NEWS_AND_MAGAZINES,20
san francisco,4.1,SHOPPING,20
harwood,4.5,GAME,18
saenmal,4.6,GAME,18
vinogradovka,4.5,FAMILY,18
ortigueira,4.4,GAME,18
parshino,4.3,FAMILY,18
calera,4.5,FAMILY,18
dala,4.4,GAME,18
longtang,4.4,GAME,16
kamari,4.2,GAME,16
wangjia,4.5,GAME,16
flores,4.1,FAMILY,16
kala,4.6,FAMILY,16
flores,4.4,FAMILY,16
el coyote,4.5,GAME,16
kala,3.7,FAMILY,16
dolores,4.4,FAMILY,16
shaka,4.5,GAME,16
flores,4.4,GAME,16
sunjiaping,4.3,FAMILY,16
flores,4.3,GAME,16
ait laasri,4.4,GAME,16
la canada,4.5,FAMILY,16
kala,4.3,FAMILY,16
longtang,4.4,FAMILY,16
kala,4.2,GAME,16
kalinovka,4.6,HEALTH_AND_FITNESS,16
kalinovka,4.4,FAMILY,16
dolores,4.6,GAME,16
auburn,4.5,GAME,16
kamari,4.4,FAMILY,16
mirnyy,4.1,PHOTOGRAPHY,15
novotroitskoye,4.5,GAME,15
mirnyy,4.5,PRODUCTIVITY,15
novyy,4.2,PERSONALIZATION,15
novyy,4.3,VIDEO_PLAYERS,15
novyy,4.6,GAME,15
ortigueira,4.3,SHOPPING,15
novotroitskoye,4.5,FAMILY,15
dala,4.5,GAME,15
mirnyy,4.3,FAMILY,15
saenmal,4.1,TOOLS,15
mirnyy,4.6,FINANCE,15
mirnyy,4.4,FAMILY,15
asan,4.3,FAMILY,15
ridgewood,4.4,GAME,15
mirnyy,4.2,FAMILY,15
mirnyy,4.8,MEDICAL,15
novyy,4.4,TOOLS,15
novotroitskoye,4.2,FAMILY,15
saenmal,4.4,GAME,15
novillo,4.3,GAME,15
ivanovka,4.3,FAMILY,15
